Id,path,speakerId,Self-reported fluency level ,First Language spoken,Current language used for work/school,gender,ageRange
12,dsl_data/audio/speakers/7B4XmNppyrCK977p/669318d0-45c9-11e9-8ec0-7bf21d1cfe30.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
13,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/055c7fe0-4527-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
14,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/d7edcaf0-4526-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
15,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/e198fb50-44f0-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
16,dsl_data/audio/speakers/7B4XmNppyrCK977p/4de9de30-45cf-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
17,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/cea4a970-44e8-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
18,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/9768a8e0-44ec-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
19,dsl_data/audio/speakers/7B4XmNppyrCK977p/b145fb00-45c8-11e9-8ec0-7bf21d1cfe30.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
20,dsl_data/audio/speakers/7B4XmNppyrCK977p/a2a83b90-45cc-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
21,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/948ba0a0-44ec-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
22,dsl_data/audio/speakers/7B4XmNppyrCK977p/c8cea970-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
23,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/70a52b50-4525-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
24,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/be404710-4529-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
25,dsl_data/audio/speakers/7B4XmNppyrCK977p/3565ff80-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
26,dsl_data/audio/speakers/7B4XmNppyrCK977p/d9a8ee90-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
27,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/eebd50a0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
28,dsl_data/audio/speakers/Q4vMvpXkXBsqryvZ/5d0fff30-4515-11e9-9035-7943ec3b842a.wav,Q4vMvpXkXBsqryvZ,native,English (United States),English (United States),female,41-65
29,dsl_data/audio/speakers/7B4XmNppyrCK977p/42839cb0-45cb-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
30,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/fdae7c40-45a2-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
31,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/fa06ad90-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
32,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/0ad9d840-45a5-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
33,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/27a5db60-45bc-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
34,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/5150ff40-4525-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
35,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/a0f6c8a0-44e8-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
36,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/35a59640-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
37,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/7cd9f610-459a-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
38,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/19870ec0-45a6-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
39,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/6a0ac120-45ce-11e9-9992-dfba019cb646.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
40,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/bab87a50-44f1-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
41,dsl_data/audio/speakers/Q4vMvpXkXBsqryvZ/0806a530-450f-11e9-9539-7f047cfe24d1.wav,Q4vMvpXkXBsqryvZ,native,English (United States),English (United States),female,41-65
42,dsl_data/audio/speakers/aokxBz9LxXHzZzay/503780f0-44cd-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,native,English (United States),English (United States),female,22-40
43,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/d2cb5f30-4529-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
44,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/90460f10-44e9-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
45,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/ae4fe0d0-44e9-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
46,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/b1078d20-44f1-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
47,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/097fd870-45a3-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
48,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/e8662220-44f3-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
49,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/3eefbe00-45bf-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
50,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/ea25dae0-44f0-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
51,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/e31e8e10-44e9-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
52,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/12eaeca0-44eb-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
53,dsl_data/audio/speakers/7B4XmNppyrCK977p/1aba5ed0-45cb-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
54,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/87a062a0-4531-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
55,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/00224990-452e-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
56,dsl_data/audio/speakers/7B4XmNppyrCK977p/2855cca0-45cb-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
57,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/51244bc0-44ea-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
58,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/933128d0-4530-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
59,dsl_data/audio/speakers/aokxBz9LxXHzZzay/3a363f60-44d4-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,native,English (United States),English (United States),female,22-40
60,dsl_data/audio/speakers/7B4XmNppyrCK977p/d09c9810-45c8-11e9-8ec0-7bf21d1cfe30.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
61,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/da38bc40-44ed-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
62,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/42370af0-4529-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
63,dsl_data/audio/speakers/7B4XmNppyrCK977p/cb6a8a00-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
64,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/9fc41f90-44e9-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
65,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/46ca4b80-4525-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
66,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/18efca80-4527-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
67,dsl_data/audio/speakers/7B4XmNppyrCK977p/ece11650-45cc-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
68,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/3eb48d30-4524-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
69,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/88371e00-4529-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
70,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/65f62340-45ce-11e9-9992-dfba019cb646.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
71,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/b59aa4d0-4528-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
72,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/5cc46710-45a0-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
73,dsl_data/audio/speakers/7B4XmNppyrCK977p/10b86b70-45cb-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
74,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/d4cb9530-459b-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
75,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/f6c9dca0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
76,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/646f2640-44eb-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
77,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/64827430-45bc-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
78,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/bf34aea0-4528-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
79,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/907d87e0-44eb-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
80,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/60c4ff70-44ea-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
81,dsl_data/audio/speakers/7B4XmNppyrCK977p/a23276b0-45c9-11e9-8ec0-7bf21d1cfe30.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
82,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/89ecb7b0-44f1-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
83,dsl_data/audio/speakers/aokxBz9LxXHzZzay/36bcfb50-44cd-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,native,English (United States),English (United States),female,22-40
84,dsl_data/audio/speakers/aokxBz9LxXHzZzay/f75e4750-44d3-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,native,English (United States),English (United States),female,22-40
85,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/401fcb10-4526-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
86,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/d159a130-44f1-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
87,dsl_data/audio/speakers/7B4XmNppyrCK977p/12377f70-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
88,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/e9b79dd0-44f2-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
89,dsl_data/audio/speakers/7B4XmNppyrCK977p/20072730-45ce-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
90,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/da54f830-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
91,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/f57610a0-4526-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
92,dsl_data/audio/speakers/7B4XmNppyrCK977p/11445060-45ce-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
93,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/55c5c1b0-4529-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
94,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/8b323fe0-45c9-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
95,dsl_data/audio/speakers/7B4XmNppyrCK977p/bf120e60-45cb-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
96,dsl_data/audio/speakers/aokxBz9LxXHzZzay/3cb54920-44d4-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,native,English (United States),English (United States),female,22-40
97,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/e9d4cb80-452e-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
98,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/7b1fc690-4524-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
99,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/c6699b20-452f-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
100,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/b43d96c0-4531-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
101,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/7000f570-45bc-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
102,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/ee6c68c0-44f1-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
103,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/38939230-45a0-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
104,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/3fec7eb0-4529-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
105,dsl_data/audio/speakers/7B4XmNppyrCK977p/c1d85a50-45cb-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
106,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/274b5d90-4533-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
107,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/c38587a0-4527-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
108,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/b96c4640-4528-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
109,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/c9753cc0-4598-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
110,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/13d2ae90-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
111,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/a2efa840-4531-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
112,dsl_data/audio/speakers/aokxBz9LxXHzZzay/7e3619d0-44cd-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,native,English (United States),English (United States),female,22-40
113,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/913cd3e0-4525-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
114,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/0f77eeb0-4527-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
115,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/6dd92820-4527-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
116,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/6b6a7970-4524-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
117,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/b661be90-459a-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
118,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/85ebf150-4530-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
119,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/4fd50b40-44f1-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,native,English (United States),English (United States),female,41-65
120,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/4c3ec780-4525-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
121,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/106a19a0-45a5-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
122,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/ebd895e0-459e-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
123,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/78632550-4529-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
124,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/1dbb4d90-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
125,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/6a3befa0-4594-11e9-9600-8f19ade2128c.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
126,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/e1dd5fd0-45cb-11e9-9992-dfba019cb646.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
127,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/f0c6a3d0-459e-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
128,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/481e1840-45c0-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
129,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/6ad86710-452e-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
130,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/778b37b0-4530-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,native,English (United States),English (United States),female,22-40
131,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/d6fb81d0-45cd-11e9-9992-dfba019cb646.wav,NgQEvO2x7Vh3xy2xz,native,English (United States),English (United States),male,22-40
132,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/eabe4910-459a-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,native,English (United States),English (United States),male,22-40
133,dsl_data/audio/speakers/7B4XmNppyrCK977p/fa3f0d50-45c9-11e9-8ec0-7bf21d1cfe30.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
134,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/a14476a0-44ec-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
135,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/b50009c0-44ec-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
136,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/3827b170-4526-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
137,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/c91133c0-44e8-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
138,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/c111ac00-4528-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,native,English (United States),English (United States),male,22-40
139,dsl_data/audio/speakers/7B4XmNppyrCK977p/ded668c0-45c8-11e9-8ec0-7bf21d1cfe30.wav,7B4XmNppyrCK977p,native,English (United States),English (United States),male,41-65
140,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/cc52adb0-44e9-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
141,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/55b1c480-4529-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,native,English (United States),English (United States),female,41-65
142,dsl_data/audio/speakers/Q4vMvpXkXBsqryvZ/d7872dd0-450e-11e9-9539-7f047cfe24d1.wav,Q4vMvpXkXBsqryvZ,native,English (United States),English (United States),female,41-65
143,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/556c2410-44e9-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,native,English (United States),English (United States),female,22-40
